ticker,Allocations,Sectors
ALGN,0.008,Health Care
APA,0.05,Utilities
ARNA,0.018,Health Care
AZTA,0.078,Health Care
BKR,0.003,Utilities
BLDP,0.024,Industrials
BNTX,0.1,Health Care
CAR,0.1,Industrials
GMAB,0.007,Health Care
GOOG,0.1,Communication Services
GOOGL,0.1,Communication Services
NVCR,0.084,Health Care
OAS,0.007,Utilities
PGNY,0.073,Health Care
PODD,0.071,Health Care
RCM,0.028,Health Care
REGI,0.045,Utilities
RGC,0.006,Health Care
RGEN,0.014,Health Care
WFRD,0.1,Utilities
